"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL1668420";"";"None";"330.38";"0";"3.66";"10";"COc1cc(O)c2c(c1)/C=C\CCCC(=O)/C=C/C[C@H](C)OC2=O";"IC50";"'='";"15000.0";"nM";"4.82";"";"";"UO_0000065";"14.60";"0.27";"1.16";"6.62";"0";"CHEMBL1670771";"Inhibition of human recombinant VEGFR1 expressed in Sf9 cells after 10 mins";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Sf9";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1667852";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"CHEMBL3308860";"";"";"";"15.0"
"CHEMBL5437375";"";"None";"517.60";"2";"5.13";"14b";"Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1-c1nc2c(C(N)=O)cccc2[nH]1";"IC50";"'='";"166.0";"nM";"6.78";"";"";"UO_0000065";"13.10";"0.24";"1.65";"5.19";"0";"CHEMBL5324549";"Inhibition of VEGFR1 (unknown origin) by Z'-Lyte kinase assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5321287";"1";"Scientific Literature";"J Med Chem";"2023";"None";"";"INHIBITOR";"";"166.0"
"CHEMBL302795";"TENOXICAM";"4.0";"337.38";"0";"1.64";"TENOXICAM";"CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909118";"DRUGMATRIX: Vascular Endothelial Growth Factor (VEGF) radioligand binding (ligand: [125I] VEGF)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HUVEC";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307501";"";"";"";""
"CHEMBL1198";"PRAMOXINE";"4.0";"293.41";"0";"2.97";"PRAMOXINE";"CCCCOc1ccc(OCCCN2CCOCC2)cc1";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909118";"DRUGMATRIX: Vascular Endothelial Growth Factor (VEGF) radioligand binding (ligand: [125I] VEGF)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HUVEC";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307501";"";"";"";""
"CHEMBL151948";"";"None";"390.80";"0";"3.76";"31";"COCC(=O)Nc1cc2ncnc(Nc3ccc(Cl)cc3F)c2cc1OC";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL811931";"In vitro vascular endothelial growth factor receptor 1 inhibitory activity at 2 uM of ATP.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1132549";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";"";"100.0"
"CHEMBL151942";"";"None";"425.20";"0";"4.13";"6";"COc1cc2ncnc(Nc3ccc(I)cc3F)c2cc1OC";"IC50";"'='";"800.0";"nM";"6.10";"";"";"UO_0000065";"14.34";"0.36";"1.97";"10.84";"0";"CHEMBL811931";"In vitro vascular endothelial growth factor receptor 1 inhibitory activity at 2 uM of ATP.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1132549";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";"";"0.8"
"CHEMBL421961";"";"None";"341.37";"0";"3.11";"12";"COCCOc1cc2ncnc(Nc3cccc(O)c3)c2cc1OC";"IC50";"'='";"30.0";"nM";"7.52";"";"";"UO_0000065";"22.04";"0.41";"4.41";"8.78";"0";"CHEMBL811931";"In vitro vascular endothelial growth factor receptor 1 inhibitory activity at 2 uM of ATP.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1132549";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";"";"0.03"
"CHEMBL2";"PRAZOSIN";"4.0";"383.41";"0";"1.78";"PRAZOSIN";"COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909118";"DRUGMATRIX: Vascular Endothelial Growth Factor (VEGF) radioligand binding (ligand: [125I] VEGF)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HUVEC";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307501";"";"";"";""
"CHEMBL30008";"FLUNARIZINE";"4.0";"404.50";"1";"5.39";"FLUNARIZINE";"Fc1ccc(C(c2ccc(F)cc2)N2CCN(C/C=C/c3ccccc3)CC2)cc1";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909118";"DRUGMATRIX: Vascular Endothelial Growth Factor (VEGF) radioligand binding (ligand: [125I] VEGF)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HUVEC";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307501";"";"";"";""
"CHEMBL475704";"";"None";"378.38";"0";"4.42";"6";"O=C(Nc1ccc(C(F)(F)F)cc1)c1nscc1NCc1ccncc1";"IC50";"'='";"250.0";"nM";"6.60";"";"";"UO_0000065";"17.45";"0.35";"2.18";"9.87";"0";"CHEMBL1034023";"Inhibition of VEGFR1 assessed as blockade of pGAT-biotin phosphorylation in presence of 2 uM ATP by HTRF assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136839";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"None";"";"";"";"0.25"
"CHEMBL470441";"";"None";"392.41";"0";"4.73";"22";"Cc1ccc(NC(=O)c2nscc2NCc2ccncc2)cc1C(F)(F)F";"IC50";"'='";"190.0";"nM";"6.72";"";"";"UO_0000065";"17.13";"0.34";"1.99";"10.05";"0";"CHEMBL1034023";"Inhibition of VEGFR1 assessed as blockade of pGAT-biotin phosphorylation in presence of 2 uM ATP by HTRF assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136839";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"None";"";"";"";"0.19"
"CHEMBL77675";"";"None";"211.27";"0";"3.15";"1,3-DIPHENYLGUANIDINE";"N=C(Nc1ccccc1)Nc1ccccc1";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909118";"DRUGMATRIX: Vascular Endothelial Growth Factor (VEGF) radioligand binding (ligand: [125I] VEGF)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HUVEC";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307501";"";"";"";""
"CHEMBL79060";"";"None";"496.68";"1";"5.49";"52";"Cc1cc2cc(Nc3ccnc4cc(-c5ccc(CNCCN6CCNCC6)cc5)sc34)ccc2[nH]1";"IC50";"'='";"3.0";"nM";"8.52";"";"";"UO_0000065";"17.16";"0.32";"3.03";"12.53";"0";"CHEMBL811929";"Inhibitory activity against Vascular endothelial growth factor receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146693";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";"";"";"0.003"
"CHEMBL78700";"";"None";"442.59";"1";"5.97";"53";"Cc1cc2cc(Nc3ccnc4cc(-c5ccc(CNCCCO)cc5)sc34)ccc2[nH]1";"IC50";"'='";"5.0";"nM";"8.30";"";"";"UO_0000065";"18.76";"0.35";"2.33";"11.38";"0";"CHEMBL811929";"Inhibitory activity against Vascular endothelial growth factor receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146693";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";"";"";"0.005"
"CHEMBL483108";"";"None";"426.29";"0";"4.97";"13";"Nc1nc(Nc2ccc(F)c(Br)c2)c2cc(CCc3ccccc3)[nH]c2n1";"IC50";"'>'";"200000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL957462";"Inhibition of VEGFR1 expressed in human tumor cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1150356";"1";"Scientific Literature";"Bioorg Med Chem";"2008";"None";"";"";"";"200.0"
"CHEMBL196363";"";"None";"375.46";"0";"4.89";"76";"Cc1cccc(NC(=O)Nc2ccc(-c3csc4ncnc(N)c34)cc2)c1";"IC50";"'='";"2.0";"nM";"8.70";"";"";"UO_0000065";"23.17";"0.44";"3.81";"9.36";"0";"CHEMBL882597";"Inhibitory concentration against FLT1 with 4 uM Biotin-Ahx-AEEEYFFLFA-amide for 1 hr at ambient temperature";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141091";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";"";"2.0"
"CHEMBL206742";"";"None";"381.83";"0";"3.87";"6";"Cn1cnc(NCc2cccnc2)c1-c1nnc(Nc2ccc(Cl)cc2)o1";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL862190";"Inhibition of VEGFR1 by enzymatic assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139649";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";"";"10.0"
"CHEMBL205127";"";"None";"449.82";"0";"4.89";"25";"Cn1cnc(NCc2ccncc2)c1-c1nnc(Nc2ccc(Cl)c(C(F)(F)F)c2)o1";"IC50";"'='";"510.0";"nM";"6.29";"";"";"UO_0000065";"13.99";"0.28";"1.40";"6.72";"0";"CHEMBL862190";"Inhibition of VEGFR1 by enzymatic assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139649";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";"";"0.51"
"CHEMBL203796";"";"None";"377.41";"0";"3.23";"20";"COc1cccc(Nc2nnc(-c3c(NCc4ccncc4)ncn3C)o2)c1";"IC50";"'='";"670.0";"nM";"6.17";"";"";"UO_0000065";"16.36";"0.30";"2.94";"6.00";"0";"CHEMBL862190";"Inhibition of VEGFR1 by enzymatic assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139649";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";"";"0.67"
"CHEMBL380131";"";"None";"415.38";"0";"4.24";"17";"Cn1cnc(NCc2ccncc2)c1-c1nnc(Nc2ccc(C(F)(F)F)cc2)o1";"IC50";"'='";"120.0";"nM";"6.92";"";"";"UO_0000065";"16.66";"0.32";"2.68";"7.39";"0";"CHEMBL862190";"Inhibition of VEGFR1 by enzymatic assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139649";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";"";"0.12"
"CHEMBL519213";"";"None";"370.41";"0";"4.41";"61";"COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccccc1)c1ccccc1";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"0";"CHEMBL1017194";"Inhibition of human VEGFR1";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137777";"1";"Scientific Literature";"J Med Chem";"2009";"None";"";"";"";""
"CHEMBL308498";"";"None";"443.58";"1";"5.44";"44";"CC(C)(CO)NCc1ccc(-c2cc3ncnc(Nc4ccc5[nH]ccc5c4)c3s2)cc1";"IC50";"'='";"3.0";"nM";"8.52";"";"";"UO_0000065";"19.21";"0.36";"3.08";"9.93";"0";"CHEMBL811929";"Inhibitory activity against Vascular endothelial growth factor receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146693";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";"";"";"0.003"
"CHEMBL206185";"";"None";"430.82";"1";"5.36";"29";"O=C(Nc1ccc(Cl)c(C(F)(F)F)c1)c1ccccc1Cn1ccc2ncnc-2c1";"IC50";"'='";"690.0";"nM";"6.16";"";"";"UO_0000065";"14.30";"0.28";"0.80";"10.30";"0";"CHEMBL867220";"Inhibitory activity against VEGFR-1 using 2 uM ATP by HTRF assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139022";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";"";"0.69"
"CHEMBL208775";"";"None";"361.45";"0";"3.97";"9";"c1ccc2c(-c3nc4cc(OCCCN5CCCC5)ccc4[nH]3)[nH]nc2c1";"IC50";"'='";"48.0";"nM";"7.32";"";"";"UO_0000065";"20.25";"0.37";"3.35";"10.48";"0";"CHEMBL862849";"Inhibition of VEGFR1";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138908";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";"";"0.048"
"CHEMBL79206";"";"None";"428.56";"1";"5.61";"45";"CN(CCO)Cc1ccc(-c2cc3nccc(Nc4ccc5[nH]ccc5c4)c3s2)cc1";"IC50";"'='";"4.0";"nM";"8.40";"";"";"UO_0000065";"19.60";"0.37";"2.79";"13.08";"0";"CHEMBL811929";"Inhibitory activity against Vascular endothelial growth factor receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146693";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";"";"";"0.004"
"CHEMBL15511";"ENROFLOXACIN";"2.0";"359.40";"0";"2.32";"ENROFLOXACIN";"CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909118";"DRUGMATRIX: Vascular Endothelial Growth Factor (VEGF) radioligand binding (ligand: [125I] VEGF)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HUVEC";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307501";"";"";"";""
"CHEMBL1980297";"ILORASERTIB";"2.0";"488.55";"1";"5.18";"BDBM50381716";"Nc1ncc(-c2cnn(CCO)c2)c2scc(-c3ccc(NC(=O)Nc4cccc(F)c4)cc3)c12";"IC50";"'='";"2.1";"nM";"8.68";"";"249755";"UO_0000065";"17.76";"0.34";"3.50";"7.35";"0";"CHEMBL3707719";"Homogenous Time-Resolved Fluorescence Assay (HTRF): To determine the activity of the various kinases, a homogenous time-resolved fluorescence (HTRF) in vitro kinase assay was used. (Mathis, G., HTRF(R) Technology. J Biomol Screen, 1999. 4(6): p. 309-314; Alfred J. Kolb, Paul V. Kaplita, David J. Hayes, Young-Whan Park, Christine Pernell, John S. Major and Gerard Mathis, Drug Discovery Today, 1998, 3, 333-342.). For example for KDR, cKIT, FLT1, CSF1R and FTL3, purified enzyme was mixed with 0.5 μM N-biotinylated substrate (Biotin-Ahx-AEEEYFFLA-amide (SEQ. ID. 1)), various concentrations of inhibitor in reaction buffer (50 mM HEPES, pH 7.1, 10 mM MgCl2, 2 mM MnCl2, 0.1% BSA and 1 mM DTT, 40 μL final volume), ATP (1 mM final conc.) in a black 384-well plate. After 60 minutes incubation at room temperature, the reaction was quenched by addition of a buffered EDTA solution.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638379";"37";"BindingDB Patent Bioactivity Data";"";"2014";"None";"";"";"";"2.1"
"CHEMBL80990";"";"None";"356.45";"1";"5.59";"16";"Cn1ccc2cc(Nc3ncnc4cc(-c5ccccc5)sc34)ccc21";"IC50";"'>'";"2500.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL811929";"Inhibitory activity against Vascular endothelial growth factor receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146693";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";"";"";"2.5"
"CHEMBL207061";"";"None";"278.27";"0";"2.58";"5";"Oc1nc2ncccc2c(O)c1-c1nc2ccccc2[nH]1";"IC50";"'='";"3940.0";"nM";"5.41";"";"";"UO_0000065";"19.42";"0.35";"2.82";"5.69";"0";"CHEMBL865651";"Inhibitory activity against VEGFR1";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146959";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";"";"3.94"
"CHEMBL465016";"";"None";"470.53";"0";"3.91";"57";"COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(NC(=O)CN(C)C)cc1)c1ccccc1";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"0";"CHEMBL1017194";"Inhibition of human VEGFR1";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137777";"1";"Scientific Literature";"J Med Chem";"2009";"None";"";"";"";""
"CHEMBL213430";"";"None";"540.74";"2";"5.82";"38";"CCN(Cc1ccc(-c2[nH]nc3c2Cc2cc(CN4CCN(C)CC4)ccc2-3)s1)C(=O)Nc1cccc(C)c1";"IC50";"'='";"131.0";"nM";"6.88";"";"";"UO_0000065";"12.73";"0.24";"1.06";"10.20";"0";"CHEMBL869848";"Inhibition of FLT1 at 1 mM ATP by HTRF assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146863";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";"";"131.0"
"CHEMBL211464";"";"None";"591.58";"2";"5.88";"55";"CN1CCN(Cc2ccc3c(c2)-c2n[nH]c(-c4ccc(CN(C)C(=O)Nc5ccc(Br)cc5)s4)c2C3)CC1";"IC50";"'='";"38.0";"nM";"7.42";"";"";"UO_0000065";"12.54";"0.27";"1.54";"10.99";"0";"CHEMBL869848";"Inhibition of FLT1 at 1 mM ATP by HTRF assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146863";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";"";"38.0"
"CHEMBL380243";"";"None";"547.13";"2";"5.77";"56";"CN1CCN(Cc2ccc3c(c2)-c2n[nH]c(-c4ccc(CN(C)C(=O)Nc5ccc(Cl)cc5)s4)c2C3)CC1";"IC50";"'='";"64.0";"nM";"7.19";"";"";"UO_0000065";"13.15";"0.26";"1.42";"10.66";"0";"CHEMBL869848";"Inhibition of FLT1 at 1 mM ATP by HTRF assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146863";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";"";"64.0"
"CHEMBL1909056";"COBALT(II) ACETYLACETONATE";"None";"257.15";"None";"None";"COBALT(II) ACETYLACETONATE";"";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909118";"DRUGMATRIX: Vascular Endothelial Growth Factor (VEGF) radioligand binding (ligand: [125I] VEGF)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HUVEC";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307501";"";"";"";""
"CHEMBL741";"LAMOTRIGINE";"4.0";"256.10";"0";"2.01";"LAMOTRIGINE";"Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909118";"DRUGMATRIX: Vascular Endothelial Growth Factor (VEGF) radioligand binding (ligand: [125I] VEGF)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HUVEC";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307501";"";"";"";""
"CHEMBL1235242";"";"None";"183.18";"0";"0.78";"4-FLUORO-L-PHENYLALANINE";"N[C@@H](Cc1ccc(F)cc1)C(=O)O";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909118";"DRUGMATRIX: Vascular Endothelial Growth Factor (VEGF) radioligand binding (ligand: [125I] VEGF)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HUVEC";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307501";"";"";"";""
"CHEMBL42710";"EUGENOL";"0.5";"164.20";"0";"2.13";"EUGENOL";"C=CCc1ccc(O)c(OC)c1";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909118";"DRUGMATRIX: Vascular Endothelial Growth Factor (VEGF) radioligand binding (ligand: [125I] VEGF)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HUVEC";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307501";"";"";"";""
"CHEMBL3621295";"";"None";"424.50";"0";"3.91";"7";"Cc1cc(C)c(/C=C2\C(=O)Nc3ccc(NC(=O)CCCCCCC(=O)NO)cc32)[nH]1";"IC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL3626702";"Inhibition of VEGFR1 (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3621077";"1";"Scientific Literature";"Medchemcomm";"2014";"None";"";"";"";""
"CHEMBL245968";"";"None";"499.59";"0";"4.74";"20b";"COCCOCC(=O)Nc1cccc2c1Cc1c-2n[nH]c1-c1csc(C#CCOc2ccccc2)c1";"IC50";"'='";"136.0";"nM";"6.87";"";"";"UO_0000065";"13.74";"0.26";"2.13";"8.03";"0";"CHEMBL906390";"Inhibition of Flt1 by HTRF assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139908";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"None";"";"";"";"0.136"
